isJunior,lensColor,img,isFindInStore,isCustomizable,roxableLabel,brand,imgHover,isPolarized,colorsNumber,isOutOfStock,modelName,isEngravable,localizedColorLabel,name,listPrice,offerPrice
False,Gold,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597064873__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597064873__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,VE2210,False,Gold/Brown,VE2210,$317.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/603429048709__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Maui Jim,https://assets.sunglasshut.com/is/image/LuxotticaRetail/603429048709__002.png?impolicy=SGH_bgtransparent&width=640,True,3 colors,False,746 BYRON BAY,False,Grey/Grey,746 BYRON BAY,$262.00,
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/725125030373__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Coach,https://assets.sunglasshut.com/is/image/LuxotticaRetail/725125030373__002.png?impolicy=SGH_bgtransparent&width=640,True,3 colors,False,HC8271U L1101,False,Tortoise/Brown,HC8271U L1101,$203.00,
False,Clear/Blue Light Filter,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597377362__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597377362__002.png?impolicy=SGH_bgtransparent&width=640,False,1 Color,False,RB3548 HEXAGONAL BLUE-LIGHT CLEAR,False,Gold/Blue,RB3548 HEXAGONAL BLUE-LIGHT CLEAR,$163.00,
False,Brown Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597332804__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597332804__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,BE4324 ISABELLA,True,Brown/Brown,BE4324 ISABELLA,$281.00,
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392578587__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Arnette,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392578587__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,AN4293 GTO,False,Black/Grey,AN4293 GTO,$99.00,
False,Pink,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672845358__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672845358__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,RB3025 AVIATOR LARGE METAL,False,Gold/Copper,RB3025 AVIATOR LARGE METAL,$188.00,
False,Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597225083__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597225083__002.png?impolicy=SGH_bgtransparent&width=640,False,4 colors,False,BE4323 CAROLL,False,Black/Grey,BE4323 CAROLL,$254.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672986587__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672986587__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,RB4387,False,Black/Green,RB4387,$140.00,
False,Green Classic,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597242776__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597242776__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,RB4338,False,Black/Green,RB4338,$140.00,
False,Dark Blue Polarized,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597625258__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597625258__002.png?impolicy=SGH_bgtransparent&width=640,True,4 colors,False,RB3772 ROB,False,Gold/Blue,RB3772 ROB,$213.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/192337093999__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Celine,https://assets.sunglasshut.com/is/image/LuxotticaRetail/192337093999__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,CL40214U,False,Black/Grey,CL40214U,$400.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/192337107856__001.png?impolicy=SGH_bgtransparent&width=640,False,False,,Celine,https://assets.sunglasshut.com/is/image/LuxotticaRetail/192337107856__002.png?impolicy=SGH_bgtransparent&width=640,False,1 Color,False,CL40235U,False,Grey/Grey,CL40235U,$520.00,
False,Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652362427__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Balenciaga,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652362427__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,BB0202S,False,Blue/Blue,BB0202S,$545.00,
False,Green Classic G-15,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597533485__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597533485__002.png?impolicy=SGH_bgtransparent&width=640,False,4 colors,False,RB3957 Julie,False,Gold/Green,RB3957 Julie,$163.00,
False,Polarized Grey/Blue Mirror,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597363327__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597363327__002.png?impolicy=SGH_bgtransparent&width=640,True,3 colors,False,RB3671CH CHROMANCE,False,Blue/Grey,RB3671CH CHROMANCE,$248.00,
