isJunior,lensColor,img,isFindInStore,isCustomizable,roxableLabel,brand,imgHover,isPolarized,colorsNumber,isOutOfStock,modelName,isEngravable,localizedColorLabel,name,listPrice,offerPrice
False,Polar Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597523509__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597523509__002.png?impolicy=SGH_bgtransparent&width=640,True,4 colors,False,VE2238,False,Grey/Grey,VE2238,$340.00,
False,Prizm Road,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392562692__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392562692__002.png?impolicy=SGH_bgtransparent&width=640,False,1 Color,False,OO9208 Radar® EV Path® Heritage Colors Collection,False,Blue/Red,OO9208 Radar® EV Path® Heritage Colors Collection,$211.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672469950__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672469950__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,VE4307,False,Black/Grey,VE4307,$276.00,$193.20
False,Light Grey Mirror Silver,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597224772__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597224772__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,VE4391,False,Grey/Silver,VE4391,$345.00,
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597640435__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597640435__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,VE2242,False,Gold/Grey,VE2242,$345.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652047515__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Gucci,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652047515__002.png?impolicy=SGH_bgtransparent&width=640,False,1 Color,False,GG0009S,False,Black/Green,GG0009S,$405.00,$283.50
False,Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597077286__001.png?impolicy=SGH_bgtransparent&width=640,True,True,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597077286__002.png?impolicy=SGH_bgtransparent&width=640,False,12 colors,False,RB3548N HEXAGONAL FLAT LENSES,False,Gold/Blue,RB3548N HEXAGONAL FLAT LENSES,$178.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672611649__001.png?impolicy=SGH_bgtransparent&width=640,True,True,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672611649__002.png?impolicy=SGH_bgtransparent&width=640,False,1 Color,False,RB3548N Hexagonal Flat Lenses,False,Gold/Green,RB3548N Hexagonal Flat Lenses,$163.00,
False,Green Classic G-15,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597139663__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597139663__002.png?impolicy=SGH_bgtransparent&width=640,False,9 colors,False,RB3025 AVIATOR CLASSIC,False,Green/Green,RB3025 AVIATOR CLASSIC,$163.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289004783__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289004783__002.png?impolicy=SGH_bgtransparent&width=640,False,5 colors,False,RB3025 Aviator Classic,False,Gold/Green,RB3025 Aviator Classic,$163.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289346944__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289346944__002.png?impolicy=SGH_bgtransparent&width=640,True,6 colors,False,RB2140 ORIGINAL WAYFARER CLASSIC,False,Tortoise/Green,RB2140 ORIGINAL WAYFARER CLASSIC,$213.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289126591__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289126591__002.png?impolicy=SGH_bgtransparent&width=640,True,2 colors,False,RB2140 Original Wayfarer Classic,False,Black/Green,RB2140 Original Wayfarer Classic,$213.00,
False,Green Classic G-15,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597489478__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597489478__002.png?impolicy=SGH_bgtransparent&width=640,False,11 colors,False,RW4002 RAY-BAN STORIES | WAYFARER,False,Black/Green,RW4002 RAY-BAN STORIES | WAYFARER,$299.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289527879__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289527879__002.png?impolicy=SGH_bgtransparent&width=640,False,6 colors,False,RB4165 JUSTIN CLASSIC,False,Brown/Green,RB4165 JUSTIN CLASSIC,$155.00,
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672495683__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672495683__002.png?impolicy=SGH_bgtransparent&width=640,True,3 colors,False,RB4165 Justin Classic,False,Tortoise/Brown,RB4165 Justin Classic,$175.00,
False,Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392336491__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392336491__002.png?impolicy=SGH_bgtransparent&width=640,True,14 colors,False,OO9417 Holbrook™ XL,False,Black/Black,OO9417 Holbrook™ XL,$212.00,
False,Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392169464__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392169464__002.png?impolicy=SGH_bgtransparent&width=640,False,5 colors,False,OO9316 Thinlink,False,Black/Grey,OO9316 Thinlink,$152.00,$76.00
False,Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392404756__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392404756__002.png?impolicy=SGH_bgtransparent&width=640,False,5 colors,False,OO9406 Sutro,False,Black/Black,OO9406 Sutro,$173.00,
False,Polarized Green Classic G-15,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597529723__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597529723__002.png?impolicy=SGH_bgtransparent&width=640,True,5 colors,False,RB2198 Bill,False,Black/Green,RB2198 Bill,$213.00,
False,Silver,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289374190__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289374190__002.png?impolicy=SGH_bgtransparent&width=640,False,6 colors,False,RB3025 Aviator Gradient,False,Gold/Brown,RB3025 Aviator Gradient,$188.00,
False,Silver,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289374183__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289374183__002.png?impolicy=SGH_bgtransparent&width=640,False,9 colors,False,RB3025 AVIATOR GRADIENT,False,Gold/Brown,RB3025 AVIATOR GRADIENT,$188.00,
