isjunior,lenscolor,img,isfindinstore,iscustomizable,roxablelabel,brand,imghover,ispolarized,colorsnumber,isoutofstock,modelname,isengravable,localizedcolorlabel,listprice,offerprice
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289742463__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289742463__002.png?impolicy=SGH_bgtransparent&width=640,False,2,False,RB4171 Erika Classic,False,Black/Grey,155.00,
False,Brown Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597596411__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597596411__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,BE4363 PENELOPE,False,Tortoise/Brown,308.00,
False,Solid Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/725125381413__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Tory Burch,https://assets.sunglasshut.com/is/image/LuxotticaRetail/725125381413__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,TY7169U,False,Black/Grey,183.00,
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597524322__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597524322__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,VE4409,True,White/Grey,317.00,
False,G-15 Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597174503__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597174503__002.png?impolicy=SGH_bgtransparent&width=640,True,1,False,RB3447 ROUND METAL,False,Black/Green,213.00,170.40
False,Gradient Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597656160__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Dolce&Gabbana,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597656160__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,DG6170,False,Black/Brown,290.00,
False,Clear Gradient Light Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597599900__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597599900__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,BE3133 DAPHNE,False,Gold/Blue,281.00,
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597526654__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Valentino,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597526654__002.png?impolicy=SGH_bgtransparent&width=640,False,1,False,VA4097,False,Red/Brown,422.00,126.60
False,Green Classic G-15,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597489478__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597489478__002.png?impolicy=SGH_bgtransparent&width=640,False,11,False,RW4002 RAY-BAN STORIES | WAYFARER,False,Black/Green,299.00,
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597690096__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597690096__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,VE4424U,False,Black/Grey,372.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289653660__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289653660__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,RB3016 Clubmaster Classic,False,Brown/Green,163.00,
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289526148__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289526148__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,RB4167,False,Tortoise/Brown,133.00,66.50
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672117721__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Valentino,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672117721__002.png?impolicy=SGH_bgtransparent&width=640,False,1,False,VA4048,False,Brown/Brown,363.00,108.90
False,Polarized Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597328111__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597328111__002.png?impolicy=SGH_bgtransparent&width=640,True,1,False,RB3025 Aviator Total Black,False,Black/Black,213.00,
False,Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597526968__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Valentino,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597526968__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,VA4096,False,Black/Grey,423.00,126.90
False,Clear Gradient Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597684828__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597684828__002.png?impolicy=SGH_bgtransparent&width=640,True,5,False,RB2198 Bill,False,Blue/Blue,248.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289126638__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289126638__002.png?impolicy=SGH_bgtransparent&width=640,False,2,False,RB2140 Original Wayfarer Classic,False,Tortoise/Green,163.00,
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597641579__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597641579__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,RB3625 NEW AVIATOR,False,Black/Grey,163.00,
False,Clear Gradient Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597685191__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597685191__002.png?impolicy=SGH_bgtransparent&width=640,True,1,False,RB3625 New Aviator,False,Grey/Blue,248.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597641784__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597641784__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,RB3636 NEW CARAVAN,False,Gold/Green,163.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597781480__001.png?impolicy=SGH_bgtransparent&width=640,True,True,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597781480__002.png?impolicy=SGH_bgtransparent&width=640,True,2,False,RB2140 WAYFARER MICKEY J22,False,Red/Grey,268.00,
False,Silver,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289374190__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289374190__002.png?impolicy=SGH_bgtransparent&width=640,False,6,False,RB3025 Aviator Gradient,False,Gold/Brown,188.00,
